idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
26,60470,11062,60470,18349,60470,26868,6383,38317,60470,18837,60470,16071,60469,14715,60470,10974,60470
27,60470,26868,6551,38485,60722,19590,60470,16700,60470,15438,60469,11157,60470,17957,60470,26868,6299
28,60722,20710,60470,15660,60470,15423,60469,11109,60470,16741,60470,26868,6299,38233,60806,20107,60470
29,60470,15024,60469,10565,60470,19903,60470,26868,6215,38149,60470,19440,60470,16304,60470,15169,60469
30,60470,19942,60470,26868,6551,38485,60470,19575,60470,16018,60470,15076,60470,11028,60469,21577,60470
31,6551,38485,60470,20161,60470,16430,60470,14378,60470,10713,60469,21382,60470,26868,6552,38485,60469
32,60470,15037,60470,14752,60470,10773,60469,21875,60470,26868,6552,38485,60469,20495,60470,13946,60470
33,60470,10132,60470,22080,60469,26867,6552,38485,60469,20051,60470,16466,60470,15050,60470,10636,60470
34,60469,26867,6552,36063,60470,20368,60469,16184,60470,15120,60470,10878,60470,23259,60469,26868,6552
35,60133,17329,60470,16045,60470,14130,60470,10706,60470,24323,60469,26867,6888,35144,59378,20679,60469
36,60470,14568,60470,10328,60470,25244,60469,26868,7644,35241,58370,20228,60469,15639,60470,15178,60470
37,60470,24198,60469,26868,8652,35051,57446,21059,60469,16015,60470,14481,60470,12319,60470,23402,60469
38,9576,31827,56186,20372,60469,16236,60470,15258,60470,10725,60470,24355,60469,26867,10836,34104,55178
39,60469,16000,60470,13939,60470,10431,60470,25665,60469,26868,11844,32771,54338,18987,60470,16063,60469
40,60470,10993,60470,24326,60469,26868,12684,34086,53918,19762,60469,15668,60470,14998,60470,10691,60470
41,60469,26868,13104,32414,54506,20845,60470,15681,60470,15758,60469,10388,60470,22890,60470,26868,12515
42,52826,21075,60469,15356,60470,15171,60470,10783,60470,25482,60470,26868,14195,30415,51314,19588,60469
43,60470,14598,60470,10681,60470,26565,60470,26868,15708,29477,50809,19432,60469,16311,60470,15642,60470
44,60470,27768,60470,26868,16212,25238,50641,20447,60470,15853,60469,14518,60470,11433,60470,23457,60470
45,16380,27314,49465,19357,60470,15430,60469,15349,60470,9948,60470,24589,60470,26868,17556,29106,49045
46,60470,15924,60470,15812,60469,11013,60470,27257,60470,26868,17976,24405,48793,20389,60470,15686,60470
47,60469,11145,60470,28931,60470,26868,18228,25136,48457,19767,60470,15885,60470,15221,60469,10745,60470
48,60470,26868,18564,24969,47617,16149,60470,15618,60470,15410,60469,10858,60470,30726,60470,26868,25913
49,59025,568,47449,19638,60470,14703,60470,15015,60469,11089,60470,29816,60470,26868,19572,21782,47197
50,60470,13503,60470,15878,60469,9704,60470,29558,60470,26868,19824,23383,46525,19781,60470,14829,60470
51,60470,9914,60469,29246,60470,26868,20496,21995,45433,18850,60470,15644,60470,13975,60470,10475,60469
52,60470,26868,26652,25785,60470,61061,44509,18620,60470,16220,60470,15021,60469,10674,60470,32343,60470
53,27576,26511,60471,60670,43668,18668,60470,15520,60470,14610,60470,11322,60469,30694,57750,26868,31136
54,60471,59381,42828,18638,60470,15262,60470,14836,60470,10934,60469,33292,60470,26868,29256,28154,60471
55,42072,18461,60470,16215,60470,15596,60470,9959,60469,29191,60470,26868,30013,26321,60470,56561,41316
56,60470,14618,60470,14737,60470,10724,60470,31176,60469,26867,30769,25074,60470,55568,40813,17799,60469
57,60470,13430,60470,10722,60470,30582,60469,26867,31273,19123,60470,52641,39972,17545,60470,15474,60470
58,60470,11101,60470,32726,60469,26867,32113,25245,60470,50506,38796,17286,60470,15034,60470,14522,60470
59,60470,30243,60469,26867,33289,24399,60470,52009,37620,18242,60470,15861,60470,15149,60470,11298,60470
60,60469,26867,34465,22407,60470,48148,36948,18388,60470,15903,60470,15425,60470,10812,60470,31777,60469
61,35137,20570,60470,47558,36444,17746,60470,15301,60470,14014,60470,10710,60470,33890,60469,26867,35641
62,60470,47276,35437,16323,60469,15068,60470,14629,60470,11884,60470,32038,60406,26867,36712,21219,60470
63,33673,17322,60469,15272,60470,14983,60470,10847,60470,33061,60469,26868,38413,20990,60470,46656,32077
64,60469,14941,60470,15459,60470,11346,60470,30081,59895,26868,40584,20618,60469,44677,31657,17339,60469
65,60470,14896,60470,11465,60470,35046,57737,26868,43162,18060,60469,43750,31405,17799,60469,15965,60470
66,60470,11084,60470,34202,56076,26868,45075,25425,60470,39220,31236,16884,60469,15860,60470,14721,60470
