idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
79,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2557,2040,1938,1421
80,1938,1421,1938,1421,1938,1421,1938,1421,9720,9203,1938,1421,1938,1421,2542,2025,1938,1421
81,1938,1421,1938,1421,1938,1421,1938,1421,9735,9218,1938,1421,1938,1421,2531,2014,1938,1421
82,1938,1421,1938,1421,1938,1421,1938,1421,9745,9228,1938,1421,1938,1421,2507,1990,1938,1421
83,1938,1421,1938,1421,1938,1421,1938,1421,9770,9253,1938,1421,1938,1421,2495,1978,1938,1421
84,1938,1421,1938,1421,1938,1421,1938,1421,9782,9265,1938,1421,1938,1421,2469,1952,1938,1421
85,1938,1421,1938,1421,1938,1421,1938,1421,9807,9290,1938,1421,1938,1421,2446,1929,1938,1421
86,1938,1421,1938,1421,1938,1421,1938,1421,9831,9314,1938,1421,1938,1421,2420,1903,1938,1421
87,1938,1421,1938,1421,1938,1421,1938,1421,9857,9340,1938,1421,1938,1421,2396,1879,1938,1421
88,1938,1421,1938,1421,1938,1421,1938,1421,9881,9364,1938,1421,1938,1421,2350,1833,1938,1421
89,1938,1421,1938,1421,1938,1421,1938,1421,9926,9409,1938,1421,1938,1421,2327,1810,1938,1421
90,1938,1421,1938,1421,1938,1421,1938,1421,9950,9433,1938,1421,1938,1421,2318,1801,1938,1421
91,1938,1421,1938,1421,1938,1421,1938,1421,9959,9442,1938,1421,1938,1421,2284,1767,1938,1421
92,1938,1421,1938,1421,1938,1421,1938,1421,9992,9475,1938,1421,1938,1421,2255,1738,1938,1421
93,1938,1421,1938,1421,1938,1421,1938,1421,10022,9505,1938,1421,1938,1421,2233,1716,1938,1421
94,1938,1421,1938,1421,1938,1421,1938,1421,10044,9527,1938,1421,1938,1421,2212,1695,1938,1421
95,1938,1421,1938,1421,1938,1421,1938,1421,10065,9548,1938,1421,1938,1421,2172,1655,1938,1421
96,1938,1421,1938,1421,1938,1421,1938,1421,10105,9588,1938,1421,1938,1421,2140,1623,1938,1421
97,1938,1421,1938,1421,1938,1421,1938,1421,10137,9620,1938,1421,1938,1421,2114,1597,1938,1421
98,1938,1421,1938,1421,1938,1421,1938,1421,10163,9646,1938,1421,1938,1421,2070,1553,1938,1421
99,1938,1421,1938,1421,1938,1421,1938,1421,10207,9690,1938,1421,1938,1421,2043,1526,1938,1421
100,1938,1421,1938,1421,1938,1421,1938,1421,10234,9717,1938,1421,1938,1421,2005,1488,1938,1421
101,1938,1421,1938,1421,1938,1421,1938,1421,10271,9754,1938,1421,1938,1421,1987,1470,1938,1421
102,1938,1421,1938,1421,1938,1421,1938,1421,10289,9773,1938,1421,1938,1421,1947,1430,1938,1421
103,1938,1421,1938,1421,1938,1421,1938,1421,10330,9813,1938,1421,1938,1421,1938,1421,1938,1421
104,1938,1421,1938,1421,1938,1421,1938,1421,10339,9822,1938,1421,1938,1421,1908,1391,1938,1421
105,1938,1421,1938,1421,1938,1421,1938,1421,10368,9851,1938,1421,1938,1421,1882,1366,1938,1421
106,1938,1421,1938,1421,1938,1421,1938,1421,10394,9877,1938,1421,1938,1421,1850,1333,1938,1421
107,1938,1421,1938,1421,1938,1421,1938,1421,10426,9910,1938,1421,1938,1421,1846,1329,1938,1421
108,1938,1421,1938,1421,1938,1421,1938,1421,10430,9913,1938,1421,1938,1421,1815,1298,1938,1421
109,1938,1421,1938,1421,1938,1421,1938,1421,10461,9944,1938,1421,1938,1421,1787,1270,1938,1421
110,1938,1421,1938,1421,1938,1421,1938,1421,10490,9973,1938,1421,1938,1421,1769,1252,1938,1421
111,1938,1421,1938,1421,1938,1421,1938,1421,10508,9991,1938,1421,1938,1421,1758,1241,1938,1421
112,1938,1421,1938,1421,1938,1421,1938,1421,10518,10001,1938,1421,1938,1421,1742,1225,1938,1421
113,1938,1421,1938,1421,1938,1421,1938,1421,10535,10018,1938,1421,1938,1421,1727,1210,1938,1421
114,1938,1421,1938,1421,1938,1421,1938,1421,10549,10032,1938,1421,1938,1421,1702,1185,1938,1421
115,1938,1421,1938,1421,1938,1421,1938,1421,10575,10058,1938,1421,1938,1421,1682,1165,1938,1421
116,1938,1421,1938,1421,1938,1421,1938,1421,10594,10078,1938,1421,1938,1421,1658,1141,1938,1421
117,1938,1421,1938,1421,1938,1421,1938,1421,10619,10102,1938,1421,1938,1421,1640,1123,1938,1421
118,1938,1421,1938,1421,1938,1421,1938,1421,10637,10120,1938,1421,1938,1421,1628,1111,1938,1421
119,1938,1421,1938,1421,1938,1421,1938,1421,10649,10132,1938,1421,1938,1421,1607,1090,1938,1421
120,1938,1421,1938,1421,1938,1421,1938,1421,10669,10152,1938,1421,1938,1421,1581,1064,1938,1421
121,1938,1421,1938,1421,1938,1421,1938,1421,10695,10178,1938,1421,1938,1421,1558,1041,1938,1421
122,1938,1421,1938,1421,1938,1421,1938,1421,10719,10202,1938,1421,1938,1421,1536,1019,1938,1421
123,1938,1421,1938,1421,1938,1421,1938,1421,10741,10224,1938,1421,1938,1421,1510,993,1938,1421
124,1938,1421,1938,1421,1938,1421,1938,1421,10766,10249,1938,1421,1938,1421,1501,984,1938,1421
125,1938,1421,1938,1421,1938,1421,1938,1421,10775,10258,1938,1421,1938,1421,1487,970,1938,1421
126,1938,1421,1938,1421,1938,1421,1938,1421,10790,10273,1938,1421,1938,1421,1453,936,1938,1421
127,1938,1421,1938,1421,1938,1421,1938,1421,10823,10306,1938,1421,1938,1421,1438,921,1938,1421
128,1938,1421,1938,1421,1938,1421,1938,1421,10839,10322,1938,1421,1938,1421,1408,891,1938,1421
129,1938,1421,1938,1421,1938,1421,1938,1421,10868,10352,1938,1421,1938,1421,1386,869,1938,1421
130,1938,1421,1938,1421,1938,1421,1938,1421,10890,10373,1938,1421,1938,1421,1363,846,1938,1421
131,1938,1421,1938,1421,1938,1421,1938,1421,10914,10397,1938,1421,1938,1421,1338,821,1938,1421
132,1938,1421,1938,1421,1938,1421,1938,1421,10938,10421,1938,1421,1938,1421,1292,775,1938,1421
133,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
134,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
135,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
136,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
137,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
138,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
139,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
140,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
141,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
142,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1292,775,1938,1421
143,1938,1421,1938,1421,1938,1421,1938,1421,10985,10468,1938,1421,1938,1421,1296,779,1938,1421
144,1938,1421,1938,1421,1938,1421,1938,1421,10981,10464,1938,1421,1938,1421,1298,781,1938,1421
145,1938,1421,1938,1421,1938,1421,1938,1421,10978,10461,1938,1421,1938,1421,1301,784,1938,1421
146,1938,1421,1938,1421,1938,1421,1938,1421,10976,10459,1938,1421,1938,1421,1302,785,1938,1421
147,1938,1421,1938,1421,1938,1421,1938,1421,10974,10457,1938,1421,1938,1421,1301,784,1938,1421
148,1938,1421,1938,1421,1938,1421,1938,1421,10976,10459,1938,1421,1938,1421,1301,784,1938,1421
149,1938,1421,1938,1421,1938,1421,1938,1421,10976,10459,1938,1421,1938,1421,1302,785,1938,1421
150,1938,1421,1938,1421,1938,1421,1938,1421,10974,10457,1938,1421,1938,1421,1303,787,1938,1421
151,1938,1421,1938,1421,1938,1421,1938,1421,10973,10456,1938,1421,1938,1421,1338,821,1938,1421
152,1938,1421,1938,1421,1938,1421,1938,1421,10938,10421,1938,1421,1938,1421,1380,863,1938,1421
153,1938,1421,1938,1421,1938,1421,1938,1421,10897,10380,1938,1421,1938,1421,1411,894,1938,1421
154,1938,1421,1938,1421,1938,1421,1938,1421,10866,10349,1938,1421,1938,1421,1440,924,1938,1421
155,1938,1421,1938,1421,1938,1421,1938,1421,10836,10319,1938,1421,1938,1421,1465,948,1938,1421
156,1938,1421,1938,1421,1938,1421,1938,1421,10812,10295,1938,1421,1938,1421,1486,969,1938,1421
157,1938,1421,1938,1421,1938,1421,1938,1421,10791,10274,1938,1421,1938,1421,1503,986,1938,1421
158,1938,1421,1938,1421,1938,1421,1938,1421,10774,10257,1938,1421,1938,1421,1532,1015,1938,1421
159,1938,1421,1938,1421,1938,1421,1938,1421,10744,10227,1938,1421,1938,1421,1579,1062,1938,1421
160,1938,1421,1938,1421,1938,1421,1938,1421,10698,10181,1938,1421,1938,1421,1619,1102,1938,1421
161,1938,1421,1938,1421,1938,1421,1938,1421,10658,10141,1938,1421,1938,1421,1643,1126,1938,1421
162,1938,1421,1938,1421,1938,1421,1938,1421,10633,10116,1938,1421,1938,1421,1671,1154,1938,1421
163,1938,1421,1938,1421,1938,1421,1938,1421,10606,10089,1938,1421,1938,1421,1716,1199,1938,1421
164,1938,1421,1938,1421,1938,1421,1938,1421,10561,10044,1938,1421,1938,1421,1765,1248,1938,1421
165,1938,1421,1938,1421,1938,1421,1938,1421,10512,9995,1938,1421,1938,1421,1802,1285,1938,1421
166,1938,1421,1938,1421,1938,1421,1938,1421,10474,9957,1938,1421,1938,1421,1848,1331,1938,1421
167,1938,1421,1938,1421,1938,1421,1938,1421,10429,9912,1938,1421,1938,1421,1876,1359,1938,1421
168,1938,1421,1938,1421,1938,1421,1938,1421,10401,9884,1938,1421,1938,1421,1920,1403,1938,1421
169,1938,1421,1938,1421,1938,1421,1938,1421,10357,9840,1938,1421,1938,1421,1943,1426,1938,1421
170,1938,1421,1938,1421,1938,1421,1938,1421,10333,9816,1938,1421,1938,1421,1978,1461,1938,1421
171,1938,1421,1938,1421,1938,1421,1938,1421,10299,9782,1938,1421,1938,1421,2014,1497,1938,1421
172,1938,1421,1938,1421,1938,1421,1938,1421,10262,9745,1938,1421,1938,1421,2053,1536,1938,1421
173,1938,1421,1938,1421,1938,1421,1938,1421,10224,9707,1938,1421,1938,1421,2083,1566,1938,1421
174,1938,1421,1938,1421,1938,1421,1938,1421,10194,9677,1938,1421,1938,1421,2132,1615,1938,1421
175,1938,1421,1938,1421,1938,1421,1938,1421,10145,9628,1938,1421,1938,1421,2160,1643,1938,1421
176,1938,1421,1938,1421,1938,1421,1938,1421,10116,9599,1938,1421,1938,1421,2194,1677,1938,1421
177,1938,1421,1938,1421,1938,1421,1938,1421,10083,9566,1938,1421,1938,1421,2230,1713,1938,1421
178,1938,1421,1938,1421,1938,1421,1938,1421,10047,9530,1938,1421,1938,1421,2248,1731,1938,1421
