Time [s],Value,Parity Error,Framing Error
1.340595937500000,'0',,
1.340682687500000,'0',,
1.340769437500000,'0',,
1.340856187500000,'0',,
1.340942937500000,'0',,
1.341029687500000,'0',,
1.341116437500000,'0',,
1.341203250000000,'0',,
1.341290000000000,'0',,
1.341376750000000,'0',,
1.341463500000000,'170',,
1.341550250000000,'171',,
1.341637000000000,'170',,
1.341723750000000,'171',,
1.341810500000000,'252',,
1.341897312500000,'197',,
1.341984062500000,'192',,
1.342070812500000,'189',,
1.342157562500000,'8',,
1.342244312500000,H,,
1.342331062500000,'157',,
1.342417812500000,=,,
1.342504562500000,'210',,
1.342591375000000,4,,
1.342678125000000,=,,
1.342764875000000,'192',,
1.342851625000000,'0',,
1.342938375000000,'0',,
1.343025125000000,'0',,
1.343111875000000,'0',,
1.343198625000000,'170',,
1.343285437500000,'171',,
1.343372187500000,'170',,
1.343458937500000,'171',,
1.343545687500000,'196',,
1.343632437500000,'177',,
1.343719187500000,'229',,
1.343805937500000,'189',,
1.343892687500000,'166',,
1.343979500000000,'196',,
1.344066250000000,'182',,
1.344153000000000,=,,
1.344239750000000,'140',,
1.344326500000000,'212',,
1.344413250000000,\,,
1.344500000000000,'192',,
1.344586750000000,'0',,
1.344673500000000,'0',,
1.344760312500000,'0',,
1.344847062500000,'0',,
