roll,pitch,yaw
94,-18.17897605895996,5.610969066619873,-31.856409072875977
95,-18.188140869140625,5.607092380523682,-31.916810989379883
96,-18.19368553161621,5.596377849578857,-31.983610153198242
97,-18.197526931762695,5.584693908691406,-32.05058288574219
98,-18.203208923339844,5.577675819396973,-32.1153450012207
99,-18.213088989257812,5.567661285400391,-32.178749084472656
100,-18.223270416259766,5.562379360198975,-32.24113845825195
101,-18.225065231323242,5.557786464691162,-32.30299377441406
102,-18.233003616333008,5.543396949768066,-32.365360260009766
103,-18.205650329589844,5.5174689292907715,-32.43680953979492
104,-18.195077896118164,5.508401393890381,-32.50088119506836
105,-18.206796646118164,5.484834671020508,-32.611724853515625
106,-18.25996971130371,5.461234092712402,-32.73583221435547
107,-18.28664779663086,5.454819202423096,-32.80443572998047
108,-18.298349380493164,5.446031093597412,-32.86537170410156
109,-18.30618667602539,5.438972473144531,-32.93158721923828
110,-18.306760787963867,5.432454586029053,-32.99794006347656
111,-18.309511184692383,5.425105094909668,-33.06589889526367
112,-18.314289093017578,5.417394638061523,-33.12870407104492
113,-18.322420120239258,5.406887054443359,-33.19186782836914
114,-18.33238983154297,5.397541046142578,-33.25511932373047
115,-18.33783531188965,5.390355110168457,-33.31884002685547
116,-18.341371536254883,5.384582996368408,-33.38287353515625
117,-18.343582153320312,5.379148960113525,-33.44828796386719
118,-18.346817016601562,5.365602493286133,-33.51164627075195
119,-18.35112762451172,5.357605457305908,-33.57668685913086
120,-18.363794326782227,5.356975078582764,-33.64824295043945
121,-18.363798141479492,5.355679512023926,-33.71485900878906
122,-18.35756492614746,5.344755172729492,-33.7802734375
123,-18.360212326049805,5.332830905914307,-33.842193603515625
124,-18.371139526367188,5.316661834716797,-33.902774810791016
125,-18.370275497436523,5.304409027099609,-33.9633674621582
126,-18.366710662841797,5.300609588623047,-34.018882751464844
127,-18.367074966430664,5.3060126304626465,-34.074337005615234
128,-18.370895385742188,5.3103132247924805,-34.14161682128906
129,-18.379966735839844,5.304774761199951,-34.21040344238281
130,-18.384746551513672,5.293612480163574,-34.28269577026367
131,-18.38909149169922,5.282583713531494,-34.358604431152344
132,-18.40167999267578,5.274729251861572,-34.43350601196289
133,-18.41153335571289,5.269200325012207,-34.50969314575195
134,-18.417922973632812,5.262828826904297,-34.57693099975586
135,-18.424938201904297,5.256715297698975,-34.6351203918457
136,-18.42546272277832,5.255129337310791,-34.68020248413086
137,-18.437170028686523,5.261961936950684,-34.73329162597656
138,-18.452787399291992,5.27284574508667,-34.80194091796875
139,-18.47109603881836,5.279263496398926,-34.8777961730957
140,-18.491695404052734,5.293231010437012,-34.952457427978516
141,-18.513139724731445,5.294255256652832,-35.014041900634766
142,-18.51072883605957,5.281646251678467,-35.06132888793945
143,-18.522350311279297,5.296213626861572,-35.11716079711914
144,-18.532129287719727,5.3089494705200195,-35.17779541015625
145,-18.555831909179688,5.312417984008789,-35.2410888671875
146,-18.588165283203125,5.317349433898926,-35.2965087890625
147,-18.638341903686523,5.286555767059326,-35.37576675415039
148,-18.705848693847656,5.219461441040039,-35.49533462524414
149,-18.811542510986328,5.149505138397217,-35.64332962036133
150,-18.98460578918457,5.096696376800537,-35.77950668334961
151,-19.159000396728516,5.074911594390869,-35.947330474853516
152,-19.320547103881836,5.087090492248535,-36.200138092041016
153,-19.518709182739258,5.081719875335693,-36.38424301147461
154,-19.724164962768555,5.08815336227417,-36.44129180908203
155,-19.8790283203125,5.089938163757324,-36.53207015991211
156,-19.894187927246094,5.033461093902588,-36.6886100769043
157,-19.854459762573242,4.971615791320801,-36.860992431640625
158,-19.769731521606445,4.836388111114502,-36.947086334228516
159,-19.675973892211914,4.655628681182861,-37.03103256225586
160,-19.501422882080078,4.4526591300964355,-37.11433792114258
161,-19.29399299621582,4.294927597045898,-37.15084457397461
162,-19.129322052001953,4.265247344970703,-37.135093688964844
163,-19.014034271240234,4.247059345245361,-37.12675857543945
164,-18.941762924194336,4.2355122566223145,-37.154945373535156
165,-18.973758697509766,4.228599548339844,-37.224609375
166,-19.0338134765625,4.216796875,-37.27474594116211
167,-19.063522338867188,4.176766872406006,-37.39578628540039
168,-19.04671287536621,4.144223690032959,-37.578330993652344
169,-18.94025421142578,4.061270236968994,-37.744422912597656
170,-18.81222152709961,3.9592928886413574,-37.85626220703125
171,-18.65340805053711,3.8788435459136963,-37.82191467285156
172,-18.487289428710938,3.8281424045562744,-37.73429489135742
173,-18.2655029296875,3.8175406455993652,-37.74333190917969
174,-18.03080177307129,3.786372423171997,-37.807655334472656
175,-17.88504981994629,3.724775552749634,-37.92490005493164
176,-17.803558349609375,3.6579911708831787,-38.031044006347656
177,-17.775455474853516,3.630884885787964,-38.10139846801758
178,-17.694400787353516,3.6418895721435547,-38.16896438598633
179,-17.510883331298828,3.6873669624328613,-38.278079986572266
180,-17.314373016357422,3.7168667316436768,-38.376914978027344
181,-17.144548416137695,3.718967914581299,-38.47459030151367
182,-17.07073211669922,3.667227268218994,-38.5742073059082
183,-17.06574821472168,3.622879981994629,-38.68903350830078
184,-17.07135772705078,3.6063270568847656,-38.816673278808594
185,-17.052000045776367,3.5840821266174316,-38.87539291381836
186,-17.096433639526367,3.580024480819702,-38.84150314331055
187,-17.24928855895996,3.5841164588928223,-38.838172912597656
188,-17.532217025756836,3.5954108238220215,-38.99994659423828
189,-17.7894229888916,3.582129716873169,-39.18320083618164
190,-17.944759368896484,3.5425922870635986,-39.28306198120117
191,-18.00985336303711,3.4589102268218994,-39.35011291503906
192,-17.943754196166992,3.2746870517730713,-39.430301666259766
193,-17.88224220275879,3.0355422496795654,-39.492454528808594
194,-17.88112449645996,2.63272762298584,-39.56508255004883
195,-17.924867630004883,2.1808838844299316,-39.6192512512207
196,-18.028987884521484,1.7363725900650024,-39.735252380371094
197,-18.102582931518555,1.2802859544754028,-39.86954879760742
198,-18.13224983215332,0.7832186818122864,-39.98310470581055
199,-18.055908203125,0.14744515717029572,-39.98905563354492
200,-17.945247650146484,-0.5783650279045105,-39.97682189941406
201,-17.78481101989746,-1.3712234497070312,-39.958465576171875
202,-17.628019332885742,-2.159011125564575,-40.003822326660156
203,-17.55678367614746,-2.8889658451080322,-40.13825225830078
204,-17.564298629760742,-3.524205446243286,-40.222129821777344
205,-17.694509506225586,-4.189734935760498,-40.160179138183594
206,-17.801603317260742,-4.973941802978516,-40.09983444213867
207,-17.856342315673828,-6.035723686218262,-39.998783111572266
208,-17.941709518432617,-7.186639308929443,-39.85414505004883
209,-18.0657901763916,-8.172781944274902,-39.731468200683594
210,-18.151546478271484,-8.893741607666016,-39.667205810546875
